codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude,regiao,nome,preco,volume_medio,dividend_yield,patrimonio_liquido,p_vp,cotas,segmento,valorizacao_12_meses,patrimonio_liquido_em_milhoes
SAAG11,São Mateus,"Avenida Mateo Bei , nº 3.286",Cidade São Mateus,SP,São Paulo,"2.050,00 m2","Avenida Mateo Bei , nº 3.286, São Paulo, SP",-23.6103,-46.477,Sudeste,SANTANDER AGÊNCIAS FDO INV IMOB - FII,121.37,7119,0.74,510000000.0,1.35,4014340.0,Outros,0.03,510.0
SHPH11,Shopping Pátio Higienópolis,"Rua DRua Veiga Filho, 133",Higienópolis,SP,São Paulo,"35.500,00 m2","Rua DRua Veiga Filho, 133, São Paulo, SP",-23.4998,-46.6965,Sudeste,FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS,922.0,117,0.4,430000000.0,1.3,400000.0,Shoppings,0.02,430.0
SPTW11,Imóvel Badaró,"Rua Líbero Badaró, 633",Centro,SP,São Paulo,"19.871,08 m2","Rua Líbero Badaró, 633, São Paulo, SP",-23.5443,-46.635,Sudeste,SP DOWNTOWN FDO INV IMOB - FII,87.2,2982,0.69,140000000.0,1.15,1798000.0,Lajes Corporativas,0.02,140.0
SPTW11,Imóvel Belenzinho,"Rua Padre Adelino, 550",Quarta Parada,SP,São Paulo,"11.911,45 m2","Rua Padre Adelino, 550, São Paulo, SP",-23.545,-46.5887,Sudeste,SP DOWNTOWN FDO INV IMOB - FII,87.2,2982,0.69,140000000.0,1.15,1798000.0,Lajes Corporativas,0.02,140.0
TBOF11,Tower Bridge Corporate,"Avenida Jornalista Roberto Marinho, nº 85",,SP,São Paulo,"56.531,55 m2","Avenida Jornalista Roberto Marinho, nº 85, São Paulo, SP",-23.6119,-46.6976,Sudeste,FDO INV IMOB - FII TB OFFICE,82.0,5393,0.23,880000000.0,0.94,10050000.0,Lajes Corporativas,0.1,880.0
THRA11,Edifício Thera Corporate,"Avenida Engenheiro Luís Carlos Berrini, 105",Brooklin Paulista,SP,São Paulo,"10.586,16 m2","Avenida Engenheiro Luís Carlos Berrini, 105, São Paulo, SP",-23.5985,-46.6906,Sudeste,FDO INV IMOB - FII CYRELA THERA CORPORATE,131.4,2260,0.44,150000000.0,1.29,1368247.0,Lajes Corporativas,0.12,150.0
TRNT11,Torre Norte,"Avenida das Nações Unidas, nº 12.901",,SP,São Paulo,"55.729,63 m2","Avenida das Nações Unidas, nº 12.901, São Paulo, SP",-23.6095,-46.6976,Sudeste,FDO INV IMOB - FII TORRE NORTE,186.01,91,0.45,780000000.0,0.93,3935562.0,Lajes Corporativas,0.07,780.0
TRXL11,Imóvel Parque Novo Mundo,"Rua Srg. Rodoval Cabral Trindade, s/n",Parque Novo Mundo,SP,São Paulo,"30.804,00 m2","Rua Srg. Rodoval Cabral Trindade, s/n, São Paulo, SP",-23.5046,-46.56399999999999,Sudeste,TRX REALTY LOGÍSTICA RENDA I FDO INV IMOB - FII,96.99,6093,0.44,180000000.0,0.98,1649303.0,Logística,-0.06,180.0
TRXL11,Itambé,"Rua Jerônimo Téles Júnior, 54",Vila Pirituba,SP,São Paulo,"8.057,75 m2","Rua Jerônimo Téles Júnior, 54, São Paulo, SP",-23.5011,-46.7516,Sudeste,TRX REALTY LOGÍSTICA RENDA I FDO INV IMOB - FII,96.99,6093,0.44,180000000.0,0.98,1649303.0,Logística,-0.06,180.0
VLOL11,Vila Olímpia Corporate,"Rua Fidêncio Ramos, 302",Vila Olimpia,SP,São Paulo,"10.368,28 m2","Rua Fidêncio Ramos, 302, São Paulo, SP",-23.5947,-46.6861,Sudeste,FDO INV IMOB - FII VILA OLÍMPIA CORPORATE,98.96,2941,0.32,150000000.0,1.16,1784828.0,Lajes Corporativas,0.14,150.0
WPLZ11,Shopping West Plaza,"Avenida Francisco Matarazzo, s/n",Água Branca,SP,São Paulo,"33.799,34 m2","Avenida Francisco Matarazzo, s/n, São Paulo, SP",-23.5257,-46.68,Sudeste,FDO INV IMOB - FII SHOPPING WEST PLAZA,80.49,472,0.56,79000000.0,1.01,989339.0,Shoppings,-0.04,79.0
XPML11,Shopping Cidade Jardim,"Avenida Magalhães de  Castro, 12.000",Cidade Jardim,SP,São Paulo,"37.671,00 m2","Avenida Magalhães de  Castro, 12.000, São Paulo, SP",-23.5925,-46.693999999999996,Sudeste,XP MALLS FDO INV IMOB FII,106.19,37871,0.5,950000000.0,1.06,3750000.0,Shoppings,0.05,950.0
XPML11,Shopping Cidade São Paulo,"Avenida Paulista, 1230",Bela Vista,SP,São Paulo,"16.619,00 m2","Avenida Paulista, 1230, São Paulo, SP",-23.5638,-46.6533,Sudeste,XP MALLS FDO INV IMOB FII,106.19,37871,0.5,950000000.0,1.06,3750000.0,Shoppings,0.05,950.0
