codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude
AGCX11,Ag São Gonçalo,"Rua DRua Nilo Peçanha, 125",Centro,RJ,São Gonçalo,"1.388,00 m2","Rua DRua Nilo Peçanha, 125, São Gonçalo, RJ",-22.8223,-43.0431
AGCX11,Ag Senador Queiros,"Avenida Senador Queiroz, 85 a 111",Centro,SP,São Paulo,"1.446,96 m2","Avenida Senador Queiroz, 85 a 111, São Paulo, SP",-23.5388,-46.6353
AGCX11,Ag Venda Nova,"Rua Padre Pedro Pinto, 1.580",Venda Nova,MG,Belo Horizonte,"2.585,45 m2","Rua Padre Pedro Pinto, 1.580, Belo Horizonte, MG",-19.8122,-43.9642
AGCX11,Ag Via Anchieta,"Via Anchieta, 1558",Vila Moinho,SP,São Paulo,"1.785,00 m2","Via Anchieta, 1558, São Paulo, SP",-23.6153,-46.6014
AGCX11,Ag Vila Mascote,"Avenida Santa Catarina, 287",Vila Alexandria,SP,São Paulo,"753,36 m2","Avenida Santa Catarina, 287, São Paulo, SP",-23.6392,-46.6692
ALZR11,Air Liquide,"Avenida Presidente Wilson, 5874",Vila Carioca,SP,São Paulo,"5.008,00 m2","Avenida Presidente Wilson, 5874, São Paulo, SP",-23.6012,-46.5841
ALZR11,Atento,"Avenida Dom Hélder Câmara, 3203",Del Castilho,RJ,Rio de Janeiro,"8.178,00 m2","Avenida Dom Hélder Câmara, 3203, Rio de Janeiro, RJ",-22.8789,-43.2656
BBFI11B,Centro Administrativo do Andaraí,"Rua Barão São Francisco, 177",Andaraí,RJ,Rio de Janeiro,"40.176,69 m2","Rua Barão São Francisco, 177, Rio de Janeiro, RJ",-22.9215,-43.2504
BBFI11B,Edíficio Sede I - Agência Banco do Brasil,Setor Bancário Sul Q. 1,,DF,Brasília,"46.135,00 m2","Setor Bancário Sul Q. 1, Brasília, DF",-23.6005,-46.4001
BBPO11,Ag. Afonso Pena,"Avenida Afonso Pena, 2202",Centro,MS,Campo Grande,"8.103,28 m2","Avenida Afonso Pena, 2202, Campo Grande, MS",-20.4642,-54.6154
BBPO11,Ag. Aldeota,"Avenida Santos Dumont, 2889",Aldeota,CE,Fortaleza,"5.476,78 m2","Avenida Santos Dumont, 2889, Fortaleza, CE",-3.7362,-38.4982
BBPO11,Ag. Ana Rosa,"Rua Domingos de Moraes, 438",Vila Mariana,SP,São Paulo,"1.688,00 m2","Rua Domingos de Moraes, 438, São Paulo, SP",-23.581,-46.6394
BBPO11,Ag. Araçatuba,"Praça Rui Barbosa, 322",centro,SP,Araçatuba,"6.070,59 m2","Praça Rui Barbosa, 322, Araçatuba, SP",-21.2066,-50.4382
BBPO11,Ag. Asa Norte 504,Avenida W-3 Qd 504 Asa Norte,,DF,Brasilia,"4.593,67 m2","Avenida W-3 Qd 504 Asa Norte, Brasilia, DF",-15.7769,-47.8787
BBPO11,Ag. Asa Sul 507,"Avenida W-3 Qd.7 Lt.7, 8 e 9 - Asa Sul 507",,DF,Brasilia,"1.757,82 m2","Avenida W-3 Qd.7 Lt.7, 8 e 9 - Asa Sul 507, Brasilia, DF",-15.7784,-47.9286
